title,year_released,rating,category
Μουλάν,1998,7.6,"Animation, Adventure, Drama"
Φόβος και παράνοια στο Λας Βέγκας,1998,7.6,"Adventure, Comedy, Drama"
Πολύ σκληρός για να πεθάνει: Η εκδίκηση,1995,7.6,"Action, Adventure, Thriller"
Απόλλων 13,1995,7.6,"Adventure, Drama, History"
Μαντ Μαξ 2: Εκδικητής πέρα απ' το νόμο,1981,7.6,"Action, Adventure, Sci-Fi"
Λουπέν ο 3ος: Το Κάστρο του Καλιόστρο,1979,7.6,"Animation, Action, Adventure"
Οι απίθανοι Μάππετ κοντά σας,1979,7.6,"Adventure, Comedy, Family"
Watership Down,1978,7.6,"Animation, Adventure, Drama"
Ήρωες με βρώμικα χέρια,1970,7.6,"Adventure, Comedy, War"
Όπου τολμούν οι αετοί,1968,7.6,"Action, Adventure, War"
Το βιβλίο της ζούγκλας,1967,7.6,"Animation, Adventure, Family"
