title,year_released,rating,category
Ιστορίες του Μπρονξ,1993,7.8,"Crime, Drama, Romance"
Μπάτμαν: Η Μάσκα του Φαντάσματος,1993,7.8,"Animation, Action, Crime"
Lat sau san taam,1992,7.8,"Action, Crime, Thriller"
Τα παιδιά της γειτονιάς,1991,7.8,"Crime, Drama"
The Killer,1989,7.8,"Action, Crime, Drama"
Ο Μισισιπής καίγεται,1988,7.8,"Crime, Drama, History"
Βασιλιάς για μια νύχτα,1982,7.8,"Comedy, Crime, Drama"
Η Ωρα του Τσακαλιού,1973,7.8,"Crime, Drama, Thriller"
Badlands,1973,7.8,"Action, Crime, Drama"
Μπόννι και Κλάυντ,1967,7.8,"Action, Biography, Crime"
Με κομμένη την ανάσα,1960,7.8,"Crime, Drama"
Στη βοή της καταιγίδας,1948,7.8,"Action, Crime, Drama"
Εφιάλτης,1944,7.8,"Crime, Drama, Mystery"
Σκάρφεϊς,1932,7.8,"Action, Crime, Drama"
Στα ίχνη του ανέμου,2017,7.7,"Crime, Drama, Mystery"
Η ανταλλαγή,2008,7.7,"Biography, Crime, Drama"
This Is England,2006,7.7,"Crime, Drama"
Zodiac,2007,7.7,"Crime, Drama, Mystery"
Το στοίχημα του Σλέβιν,2006,7.7,"Crime, Drama, Thriller"
Το τελευταίο τρένο για τη Γιούμα,2007,7.7,"Action, Crime, Drama"
Crash,2004,7.7,"Crime, Drama, Thriller"
Δια πυρός και σιδήρου,2004,7.7,"Action, Crime, Drama"
Ο δρόμος της απώλειας,2002,7.7,"Crime, Drama, Thriller"
Η συμμορία των έντεκα,2001,7.7,"Crime, Thriller"
"Ω αδελφέ, πού είσαι;",2000,7.7,"Adventure, Comedy, Crime"
Εξολοθρευτές Άγιοι,1999,7.7,"Action, Crime, Thriller"
Ημέρα εκπαίδευσης,2001,7.7,"Crime, Drama, Thriller"
"Τρέξε, Λόλα, τρέξε",1998,7.7,"Crime, Drama, Thriller"
Ντόνι Μπράσκο,1997,7.7,"Biography, Crime, Drama"
Φόβος ενστίκτου,1996,7.7,"Crime, Drama, Mystery"
Έκπτωτοι Άγγελοι,1995,7.7,"Comedy, Crime, Drama"
Οικόπεδα με θέα,1992,7.7,"Crime, Drama, Mystery"
Το πέρασμα του Μίλερ,1990,7.7,"Crime, Drama, Thriller"
Το όνομα του ρόδου,1986,7.7,"Crime, Drama, Mystery"
Στην παγίδα του νόμου,1986,7.7,"Comedy, Crime, Drama"
Μετά τα μεσάνυχτα,1985,7.7,"Comedy, Crime, Drama"
Πανικός στο Μετρό της Νέας Υόρκης,1974,7.7,"Action, Crime, Thriller"
Σέρπικο,1973,7.7,"Biography, Crime, Drama"
Ο κίτρινος πράκτωρ του Χονγκ Κονγκ,1973,7.7,"Action, Crime, Drama"
Ο άνθρωπος από τη Γαλλία,1971,7.7,"Action, Crime, Drama"
Ο Επιθεωρητής Κάλαχαν,1971,7.7,"Action, Crime, Thriller"
The Ladykillers,1955,7.7,"Comedy, Crime"
Αγώνας για Δικαιοσύνη,2019,7.6,"Biography, Crime, Drama"
Victoria,2015,7.6,"Crime, Drama, Romance"
Baby Driver,2017,7.6,"Action, Crime, Drama"
Sicario: Ο εκτελεστής,2015,7.6,"Action, Crime, Drama"
Λεβιάθαν,2014,7.6,"Crime, Drama"
Πάση θυσία,2016,7.6,"Action, Crime, Drama"
Περιπολία,2012,7.6,"Action, Adventure, Crime"
Κελί 211,2009,7.6,"Action, Adventure, Crime"
Eastern Promises,2007,7.6,"Action, Crime, Drama"
Death Note: Desu nôto,2006,7.6,"Crime, Drama, Fantasy"
Ο υποκινητής,2006,7.6,"Crime, Drama, Mystery"
Χωρίς ίχνη,2007,7.6,"Crime, Drama, Mystery"
Τα Παπούτσια του Νεκρού,2004,7.6,"Crime, Drama, Thriller"
21 γραμμάρια,2003,7.6,"Crime, Drama, Thriller"
Η τελευταία εκδίκηση,2002,7.6,"Crime, Drama, Thriller"
Minority Report,2002,7.6,"Action, Crime, Mystery"
American Psycho,2000,7.6,"Comedy, Crime, Drama"
Το ξαδερφάκι μου ο Βίνι,1992,7.6,"Comedy, Crime"
Ντελικατέσεν,1991,7.6,"Comedy, Crime"
Ο νονός 3,1990,7.6,"Crime, Drama"
Τρελές σφαίρες,1988,7.6,"Comedy, Crime"
Φονικό όπλο,1987,7.6,"Action, Crime, Thriller"
Μόνο αίμα,1984,7.6,"Crime, Drama, Thriller"
Οι μαχητές,1979,7.6,"Action, Crime, Thriller"
Απόδραση από το Αλκατράζ,1979,7.6,"Action, Biography, Crime"
Ο Μεγάλος Αποχαιρετισμός,1973,7.6,"Comedy, Crime, Drama"
Τα 39 σκαλοπάτια,1935,7.6,"Crime, Mystery, Thriller"
