title,year_released,rating,category
Ξαναπαντρεύομαι τη γυναίκα μου,1940,7.9,"Comedy, Drama, Romance"
Η Γυναίκα με τη Λεοπάρδαλη,1938,7.9,"Comedy, Family, Romance"
Μια Νύχτα στην Όπερα,1935,7.9,"Comedy, Music, Musical"
Εγκληματίες Πρώτης Τάξεως,2019,7.8,"Action, Comedy, Crime"
Οι Τέλειοι Ξένοι,2016,7.8,"Comedy, Drama"
Πάντινγκτον 2,2017,7.8,"Animation, Adventure, Comedy"
Pride,2014,7.8,"Biography, Comedy, Drama"
Vicky Donor,2012,7.8,"Comedy, Romance"
Όσα Φέρνει ο Χρόνος,2013,7.8,"Comedy, Drama, Fantasy"
English Vinglish,2012,7.8,"Comedy, Drama, Family"
Ο έρωτας του φεγγαριού,2012,7.8,"Comedy, Drama, Romance"
Το μεγάλο σορτάρισμα,2015,7.8,"Biography, Comedy, Drama"
Άσπρο πάτο,2020,7.8,"Comedy, Drama"
Little Miss Sunshine,2006,7.8,"Comedy, Drama"
Καυτοί και Άσφαιροι,2007,7.8,"Action, Comedy, Mystery"
Τα μήλα του Αδάμ,2005,7.8,"Comedy, Crime, Drama"
Tôkyô goddofâzâzu,2003,7.8,"Animation, Adventure, Comedy"
Το Τρίο της Μπελβίλ,2003,7.8,"Animation, Comedy, Drama"
Ed Wood,1994,7.8,"Biography, Comedy, Drama"
The Sandlot,1993,7.8,"Comedy, Drama, Family"
Naked,1993,7.8,"Comedy, Drama"
Επιστροφή στο μέλλον 2,1989,7.8,"Adventure, Comedy, Sci-Fi"
Η πιο κουφή μέρα του Φέρι Μπούλερ,1986,7.8,Comedy
Γκούνις: Το κυνήγι της μεγάλης περιπέτειας,1985,7.8,"Adventure, Comedy, Family"
Μπρέκφαστ Κλαμπ,1985,7.8,"Comedy, Drama"
Γκόστμπαστερς,1984,7.8,"Action, Comedy, Fantasy"
Βασιλιάς για μια νύχτα,1982,7.8,"Comedy, Crime, Drama"
Μάντεψε ποιος θα 'ρθει το βράδυ,1967,7.8,"Comedy, Drama"
Μαίρη Πόππινς,1964,7.8,"Comedy, Family, Fantasy"
Ο ήσυχος άνθρωπος,1952,7.8,"Comedy, Drama, Romance"
Η σειρήνα της Μαρτινίκα,1944,7.8,"Adventure, Comedy, Film-Noir"
Σούπα Πάπιας,1933,7.8,"Comedy, Musical"
Οι Μίτσελ και η Εξέγερση των Μηχανών,2021,7.7,"Animation, Adventure, Comedy"
Deadpool 2,2018,7.7,"Action, Adventure, Comedy"
Ο κύριος Όβε,2015,7.7,"Comedy, Drama, Romance"
Όσα κάνουμε στις σκιές,2014,7.7,"Comedy, Horror"
Kingsman: Η μυστική υπηρεσία,2014,7.7,"Action, Adventure, Comedy"
"Εγώ, ο Ερλ και το κορίτσι που πεθαίνει",2015,7.7,"Comedy, Drama"
Birdman ή (Η απρόσμενη αρετή της αφέλειας),2014,7.7,"Comedy, Drama"
Η ιστορία των παιχνιδιών 4,2019,7.7,"Animation, Adventure, Comedy"
Nebraska,2013,7.7,"Adventure, Comedy, Drama"
Ραλφ: Η επόμενη πίστα,2012,7.7,"Animation, Adventure, Comedy"
Μεσάνυχτα στο Παρίσι,2011,7.7,"Comedy, Fantasy, Romance"
Το χανγκόβερ,2009,7.7,Comedy
Οδηγός αισιοδοξίας,2012,7.7,"Comedy, Drama, Romance"
(500) μέρες με τη Σάμερ,2009,7.7,"Comedy, Drama, Romance"
Πόνιο,2008,7.7,"Animation, Adventure, Comedy"
Πρώτη Αγάπη,2010,7.7,"Comedy, Drama, Romance"
Toki o kakeru shôjo,2006,7.7,"Animation, Adventure, Comedy"
Μαλλιά κουβάρια,2010,7.7,"Animation, Adventure, Comedy"
Κουνγκ Φου... Ζιο,2004,7.7,"Action, Comedy, Fantasy"
Χαμένοι στη μετάφραση,2003,7.7,"Comedy, Drama"
Αντίο Λένιν,2003,7.7,"Comedy, Drama, Romance"
Adaptation.,2002,7.7,"Comedy, Drama"
Hedwig and the Angry Inch,2001,7.7,"Comedy, Drama, Music"
"Ω αδελφέ, πού είσαι;",2000,7.7,"Adventure, Comedy, Crime"
Interstate 60: Episodes of the Road,2002,7.7,"Adventure, Comedy, Drama"
Το πάρκο της τρέλας,1999,7.7,"Animation, Comedy, Fantasy"
Στην τρέλα του γραφείου,1999,7.7,Comedy
Ευτυχία,1998,7.7,"Comedy, Drama"
Ο αρχάριος,1998,7.7,"Comedy, Drama, Romance"
Στο μυαλό του Τζον Μάλκοβιτς,1999,7.7,"Comedy, Drama, Fantasy"
Καλύτερα δε γίνεται,1997,7.7,"Comedy, Drama, Romance"
Δείπνο ηλιθίων,1998,7.7,Comedy
Έκπτωτοι Άγγελοι,1995,7.7,"Comedy, Crime, Drama"
Ο Ταχυδρόμος,1994,7.7,"Biography, Comedy, Drama"
Υπάλληλοι,1994,7.7,Comedy
Στιγμιότυπα,1993,7.7,"Comedy, Drama"
Χριστουγεννιάτικη ιστορία,1992,7.7,"Comedy, Drama, Family"
Οι αερομαχίες του Πόρκο Ρόσσο,1992,7.7,"Animation, Adventure, Comedy"
Μια νύχτα στον κόσμο,1991,7.7,"Comedy, Drama"
Barton Fink,1991,7.7,"Comedy, Drama, Thriller"
Ποιος παγίδεψε τον Ρότζερ Ράμπιτ,1988,7.7,"Animation, Adventure, Comedy"
Νεκρός την αυγή,1987,7.7,"Comedy, Horror"
Στην παγίδα του νόμου,1986,7.7,"Comedy, Crime, Drama"
Το πορφυρό ρόδο του Καΐρου,1985,7.7,"Comedy, Fantasy, Romance"
Μετά τα μεσάνυχτα,1985,7.7,"Comedy, Crime, Drama"
Zelig,1983,7.7,Comedy
"Μια Τρελή, Απίθανη Πτήση",1980,7.7,Comedy
Ο ειρηνοποιός,1975,7.7,"Comedy, War"
